n,seconds
1297,0.0559969900
1298,0.0519183190
1299,0.0538381140
1300,0.0519705890
1301,0.0520888560
1302,0.0513482770
1303,0.0518090820
1304,0.0515283260
1305,0.0523505350
1306,0.0530715950
1307,0.0528667620
1308,0.0518483880
1309,0.0793791800
1310,0.0558899140
1311,0.0531093640
1312,0.0518212860
1313,0.0558064840
1314,0.0582429680
1315,0.0615896280
1316,0.0549039580
1317,0.0544181650
1318,0.0560656850
1319,0.0518695830
1320,0.0519813840
1321,0.0532309150
1322,0.0538681570
1323,0.0545642170
1324,0.0530886430
1325,0.0534769340
1326,0.0528447400
1327,0.0529566390
1328,0.0527120150
1329,0.0543578590
1330,0.0535460730
1331,0.0544997350
1332,0.0544735670
1333,0.0539038960
1334,0.0557938380
1335,0.0527421580
1336,0.0541947490
1337,0.0529203380
1338,0.0560278790
1339,0.0580467610
1340,0.0622559450
1341,0.0612015920
1342,0.0618266430
1343,0.0631425080
1344,0.0581199510
1345,0.0606876160
1346,0.0590748020
1347,0.0703659070
1348,0.1091229620
1349,0.1136420200
1350,0.0763292790
1351,0.0873303980
1352,0.0689800370
1353,0.0654050540
1354,0.0634364000
1355,0.0760308580
1356,0.0906182820
1357,0.0971570020
1358,0.0661779520
1359,0.0681312020
1360,0.0606114380
1361,0.0561387840
1362,0.0553681470
1363,0.0775749510
1364,0.0550392010
1365,0.0555032780
1366,0.0551409940
1367,0.0557980200
1368,0.0589907110
1369,0.0618990230
1370,0.0627288160
1371,0.0610454900
1372,0.0631966520
1373,0.0602052880
1374,0.0619628810
1375,0.0583361250
1376,0.0605378200
1377,0.0679851640
1378,0.0672678070
1379,0.0888591880
1380,0.0678991230
1381,0.0666608330
1382,0.0660159780
1383,0.0670209550
1384,0.0837927910
1385,0.0685348450
1386,0.0672142440
1387,0.0673303410
1388,0.0741671470
1389,0.0957978060
1390,0.0680208490
1391,0.0605472650
1392,0.0580127960
1393,0.0631821520
1394,0.0602399270
1395,0.0740669170
1396,0.0615764530
1397,0.0621633780
1398,0.0629891540
1399,0.0610150780
1400,0.0603524390
1401,0.0597285490
1402,0.0580321620
1403,0.0588084310
1404,0.0598769970
1405,0.0701107600
1406,0.0630231200
1407,0.0599663680
1408,0.0631447230
1409,0.0606120350
1410,0.0589418770
1411,0.0607986070
1412,0.0635963550
1413,0.0673594270
1414,0.0615087230
1415,0.0632586490
1416,0.0628299270
1417,0.0619087120
1418,0.0616568450
1419,0.0605633060
1420,0.0614153350
1421,0.1056695720
1422,0.0657340740
1423,0.0623657340
1424,0.0654908120
1425,0.0609106470
1426,0.0623303090
1427,0.0608589270
1428,0.0517290080
1429,0.0465866870
1430,0.0467244710
1431,0.0455142120
1432,0.0449629070
1433,0.0458196170
1434,0.0456771020
1435,0.0463104830
1436,0.0466919040
1437,0.0463806240
1438,0.0466281060
1439,0.0608598280
1440,0.0643088230
1441,0.0632444240
1442,0.0645276020
1443,0.0626680410
1444,0.0625523850
1445,0.0623792400
1446,0.0618284720
1447,0.0467516170
1448,0.0475860110
1449,0.0627768390
1450,0.0639316860
1451,0.0633203930
1452,0.0644425460
1453,0.0629688160
1454,0.0637046880
1455,0.0657764970
1456,0.0756247570
1457,0.0635945160
1458,0.0660779780
1459,0.0681291680
1460,0.0691027250
1461,0.0685417100
1462,0.0669418800
1463,0.0663089250
